,id_aluno,nome,idade,serie,sexo,nota_matematica,nota_portugues,frequencia,media,aprovado
0,1,Pedro Lucas Vieira,11,6º Ano,Masculino,"4,10","3,80","63,70","4,76",Não
1,2,Emanuelly Moreira,10,4º Ano,Feminino,"8,40","7,80","64,60","7,55",Sim
2,3,Murilo Nogueira,13,9º Ano,Masculino,"8,10","6,50","68,40","7,15",Sim
3,4,Helena Oliveira,14,9º Ano,Feminino,"3,70","3,40","65,40","4,55",Não
4,5,Alice Ribeiro,15,9º Ano,Feminino,"2,70","8,70","89,80","6,79",Não
5,6,Lucas Campos,12,7º Ano,Masculino,"8,90","4,10","76,70","6,89",Não
6,7,Pedro Cavalcanti,10,6º Ano,Masculino,"7,40","6,60","67,80","6,93",Não
7,8,Bianca Pires,9,4º Ano,Feminino,"0,20","9,30","61,90","5,23",Não
8,9,Anthony da Mota,10,5º Ano,Masculino,"3,60","8,30","64,40","6,11",Não
9,10,Nicole Gomes,13,8º Ano,Feminino,"5,70","3,60","83,30","5,88",Não
10,11,Kevin Moraes,8,3º Ano,Masculino,"2,90","0,30","91,10","4,10",Não
11,12,Lavínia Costa,8,4º Ano,Feminino,"5,00","8,10","64,10","6,50",Não
12,13,Lucca Nascimento,6,1º Ano,Masculino,"0,90","7,40","81,70","5,49",Não
13,14,Luiz Gustavo Carvalho,7,2º Ano,Masculino,"6,80","6,50","62,50","6,52",Não
14,15,Miguel Teixeira,10,4º Ano,Masculino,"7,70","8,60","93,40","8,55",Sim
15,16,Pietro Azevedo,11,6º Ano,Masculino,"0,80","6,80","84,00","5,33",Não
16,17,Larissa Araújo,14,8º Ano,Feminino,"3,10","8,00","94,80","6,86",Não
17,18,Laura Correia,13,9º Ano,Feminino,"2,10","3,50","62,30","3,94",Não
18,19,Mariana Barbosa,5,1º Ano,Feminino,"9,00","8,50","82,90","8,60",Sim
19,20,Diego Moura,6,2º Ano,Masculino,"6,80","1,60","77,90","5,40",Não
20,21,Guilherme Ramos,9,5º Ano,Masculino,"2,80","0,90","91,90","4,30",Não
21,22,Ana Nogueira,9,3º Ano,Feminino,"8,20","7,80","83,50","8,12",Sim
22,23,Lorena Azevedo,10,5º Ano,Feminino,"3,40","1,70","81,80","4,43",Não
23,24,Vitor Hugo Souza,12,8º Ano,Masculino,"2,90","1,80","84,00","4,37",Não
24,25,Alícia Pereira,11,6º Ano,Feminino,"0,20","7,20","68,00","4,73",Não
25,26,Noah Nogueira,9,3º Ano,Masculino,"0,60","5,00","80,50","4,55",Não
26,27,Luigi Silva,12,6º Ano,Masculino,"0,80","8,30","95,20","6,21",Não
27,28,André Duarte,9,3º Ano,Masculino,"2,20","2,90","69,00","4,00",Não
28,29,Augusto Dias,6,2º Ano,Masculino,"8,20","3,30","66,70","6,06",Não
29,30,Stella Correia,8,3º Ano,Feminino,"4,30","4,00","90,20","5,77",Não
30,31,Caroline Barbosa,14,9º Ano,Feminino,"4,10","5,80","76,50","5,85",Não
31,32,Milena da Rosa,11,6º Ano,Feminino,"3,50","1,20","96,50","4,78",Não
32,33,Carolina da Mata,13,7º Ano,Feminino,"5,20","0,90","75,90","4,56",Não
33,34,Renan Novaes,10,6º Ano,Masculino,"5,10","1,30","99,10","5,44",Não
34,35,Pedro Miguel Azevedo,9,3º Ano,Masculino,"9,60","0,10","66,40","5,45",Não
35,36,Stella Peixoto,11,5º Ano,Feminino,"1,00","0,70","62,40","2,65",Não
36,37,Rafael Pereira,14,9º Ano,Masculino,"7,40","7,10","61,50","6,88",Não
37,38,João Pedro Rodrigues,11,5º Ano,Masculino,"9,60","0,40","85,70","6,19",Não
38,39,Yago Freitas,9,4º Ano,Masculino,"9,60","7,30","73,70","8,09",Sim
39,40,Nathan Farias,8,4º Ano,Masculino,"2,70","9,70","67,50","6,38",Não
40,41,Fernando Pinto,8,3º Ano,Masculino,"9,50","6,50","93,30","8,44",Sim
41,42,Sofia Gomes,5,1º Ano,Feminino,"8,50","5,20","86,90","7,46",Sim
42,43,Emanuel Silveira,9,4º Ano,Masculino,"0,00","3,90","62,90","3,40",Não
43,44,Nina Moreira,10,4º Ano,Feminino,"6,90","2,30","66,00","5,27",Não
44,45,Emanuelly Viana,14,8º Ano,Feminino,"4,50","6,90","61,10","5,84",Não
45,46,Helena Almeida,7,3º Ano,Feminino,"7,60","4,80","60,80","6,16",Não
46,47,Vitória Martins,10,6º Ano,Feminino,"5,50","2,50","65,00","4,83",Não
47,48,Henrique Santos,13,9º Ano,Masculino,"7,10","2,40","77,40","5,75",Não
48,49,Caio Costela,13,8º Ano,Masculino,"6,20","4,90","71,10","6,07",Não
49,50,Rodrigo Caldeira,7,2º Ano,Masculino,"2,50","3,30","89,00","4,90",Não
50,51,Marcos Vinicius Lopes,6,2º Ano,Masculino,"9,90","5,10","78,40","7,61",Sim
51,52,Enzo Aragão,8,2º Ano,Masculino,"3,60","4,80","97,20","6,04",Não
52,53,Leandro Peixoto,7,2º Ano,Masculino,"4,90","5,90","94,80","6,76",Não
53,54,Isabelly Novaes,11,6º Ano,Feminino,"8,10","7,00","69,40","7,35",Sim
54,55,Gustavo Ribeiro,12,7º Ano,Masculino,"7,70","0,20","87,80","5,56",Não
55,56,João Lopes,10,6º Ano,Masculino,"7,40","5,10","63,30","6,28",Não
56,57,Maria Sophia Cardoso,7,3º Ano,Feminino,"2,70","1,30","86,20","4,21",Não
57,58,Natália Teixeira,13,9º Ano,Feminino,"3,20","3,10","74,30","4,58",Não
58,59,Lívia Alves,7,3º Ano,Feminino,"1,70","1,20","78,90","3,60",Não
59,60,Alana da Rosa,6,2º Ano,Feminino,"5,80","5,70","74,20","6,31",Não
60,61,Alice Ferreira,9,3º Ano,Feminino,"6,10","3,70","72,40","5,68",Não
61,62,Evelyn Pinto,7,1º Ano,Feminino,"2,20","1,00","64,40","3,21",Não
62,63,Renan Nogueira,13,9º Ano,Masculino,"10,00","5,10","93,90","8,16",Sim
63,64,Maria Cecília Peixoto,12,7º Ano,Feminino,"5,30","8,90","80,60","7,42",Sim
64,65,Maysa Aragão,12,8º Ano,Feminino,"1,60","0,50","88,80","3,66",Não
